Hour,Diesel,Sim_Load
215,,2315.7337171217723
216,,2206.5535377655647
217,,2114.9116536079077
218,,2057.961153192928
219,,2018.6320125152595
220,,1987.9781653202126
221,,1999.8471932041793
222,,2039.2537618296067
223,,2136.204337057007
224,,2262.634641360619
225,,2354.0645903900313
226,,2436.5007027674883
227,,2586.0333556781934
228,,2602.1204716658244
229,,2547.241935628685
230,,2578.627757761488
231,,2690.567415380832
232,,2818.51537073234
233,,2857.197298231078
234,,2804.340189537304
235,,2692.53400186048
236,,2619.960560177821
237,,2546.930014762805
238,,2460.3400626861608
239,,2351.7944255651128
240,,2257.5481399922555
241,,2161.425015043478
242,,2091.3688830492447
243,,2043.6706535986548
244,,2015.8491787131425
245,,2027.9729992925647
246,,2056.5057512666103
247,,2128.055369701703
248,,2234.8611281242042
249,,2302.3169107679855
250,,2376.183957846485
251,,2522.1214975614334
252,,2521.5020409050103
253,,2481.9933641735847
254,,2519.4000634754557
255,,2627.4348110819756
256,,2740.656885522394
257,,2777.00162416574
258,,2713.5977795909266
259,,2610.1499881634354
260,,2547.899800969408
261,,2487.244398744737
262,,2413.531784306128
263,,2304.0174255863158
264,,2207.358301066389
265,,2117.0970991831714
266,,2063.137269952245
267,,2023.9659189284664
268,,1993.2285449116614
269,,1994.8171616162067
270,,2020.2445283271943
271,,2098.54345060908
272,,2186.931448512545
273,,2245.2290988880814
274,,2356.808466452797
275,,2499.4724214154653
276,,2505.8551547387215
277,,2461.180385422949
278,,2501.164575258978
279,,2603.5562271683225
280,,2719.2508102631587
281,,2773.147796619609
282,,2706.4919391858357
283,,2584.348532377616
284,,2538.2788017034195
285,,2479.97360294605
286,,2379.7026272057046
287,,2263.247854145138
288,,2163.819975589483
289,,2069.2417989897785
290,,2009.859798909469
291,,1972.9056470423006
292,,1945.4364659113805
293,,1948.8654947617263
294,,1992.6498732501466
295,,2082.5376089012716
296,,2199.124992141746
297,,2242.400297376167
298,,2316.027017863192
299,,2469.854954533173
300,,2487.336829510686
301,,2416.2883137409744
302,,2437.4028708482606
303,,2553.586405954009
304,,2661.5602083142844
305,,2722.4527512622767
306,,2657.910243404075
307,,2540.6873830496324
308,,2493.959794040217
