Hour,Diesel,Sim_Load
0,,963.6805691949857
1,,962.8213104681582
2,,943.371346251664
3,,910.0215075297556
4,,892.9878594048729
5,,890.3623481429375
6,,897.2138503450595
7,,906.3127639447966
8,,912.9998281186663
9,,912.6020056296254
10,,923.5722054597217
11,,969.9594643424243
12,,993.2353991641106
13,,989.0325258891932
14,,1015.0883081978435
15,,1079.8705926647901
16,,1119.4105014284644
17,,1129.2159622558356
18,,1105.9099393584183
19,,1079.9621655104484
20,,1059.142454462723
21,,1027.5024091697896
22,,1003.4157328348035
23,,990.7534873040079
24,,973.0204719689136
25,,953.2875143483164
26,,933.0963208017902
27,,907.6925564459433
28,,889.5532126036636
29,,890.3698969744928
30,,900.1477606922823
31,,920.7933591295887
32,,946.0965256925997
33,,965.8340406928785
34,,993.2008373487065
35,,1049.83687994415
36,,1075.8451686558687
37,,1077.6591771479998
38,,1104.9710301565312
39,,1154.9833154295727
40,,1200.9187798656942
41,,1211.8053542653495
42,,1181.7355940455009
43,,1133.3585913208208
44,,1103.6103114056548
45,,1076.9675668605287
46,,1046.1964674739343
47,,1018.8488647722108
48,,996.6719805582517
49,,968.9674817679245
50,,943.695667517531
51,,917.2570380454194
52,,900.3276043454503
53,,896.2521724212793
54,,908.2935560891962
55,,928.9032559834861
56,,952.6660868987294
57,,972.5406085951056
58,,1006.4031337183297
59,,1060.7351126860674
60,,1085.5776225200816
61,,1075.7788740675778
62,,1106.6866957363386
63,,1159.883366041621
64,,1208.0449340357538
65,,1214.6266585084109
66,,1193.7299161207748
67,,1152.847477966995
68,,1117.790320841516
69,,1082.150685412645
70,,1043.4300231284165
71,,1026.1366272310468
72,,992.7052691439562
73,,963.9473218862614
74,,932.9876970714847
75,,910.3855577194819
76,,893.9833061659137
77,,896.0696278707968
78,,903.186947951783
79,,922.1808326594072
80,,941.4997763717153
81,,960.028587829837
82,,994.205156452796
83,,1053.6731180498223
84,,1074.6541287208836
85,,1066.5267284432935
86,,1078.645878189129
87,,1134.5403888125086
88,,1183.9643005416892
89,,1206.5600751857003
90,,1182.2607551616597
91,,1140.6292720642123
92,,1116.5556592459625
93,,1098.293651474614
94,,1067.7391087478045
95,,1032.445439303324
96,,993.2471543240221
97,,952.349548040485
98,,925.553548011568
99,,903.7716992828083
100,,885.9520315304508
101,,888.9768457231181
102,,896.6634070796302
103,,923.3064592427721
104,,950.9013677169107
105,,975.3805523860808
106,,1010.8289872461567
107,,1069.118053085556
108,,1083.8356978746071
109,,1077.8063350225727
110,,1086.6885919639215
111,,1142.9482565081887
112,,1191.1264265260727
113,,1205.838917953998
114,,1184.333965281832
115,,1145.8612893738855
116,,1126.9890501259774
117,,1110.6190353786833
118,,1072.403323206522
119,,1033.1817192047813
120,,992.268945361374
121,,954.2315034202018
122,,924.6241371046129
123,,905.2283282530478
124,,891.407781568807
125,,891.5205724084602
126,,908.2485062978943
127,,943.4497050260976
128,,991.5028074944285
129,,1007.9961928419239
130,,1044.2297685977628
131,,1117.9194637520816
132,,1117.985820907161
133,,1092.875796516769
134,,1117.8623309047905
135,,1174.6896968376175
136,,1226.5442122183233
137,,1231.9994994782558
138,,1201.8791163469018
139,,1160.6257898248327
140,,1138.602963315395
141,,1110.2450207962727
142,,1075.3544531300452
143,,1033.895781908016
144,,986.4954568000701
145,,942.9580934841645
146,,922.6228937930689
147,,903.0005503201415
148,,888.2618826793372
149,,893.9270664516149
150,,913.2999040796055
151,,954.59495283569
152,,1020.0436121916583
153,,1058.0412378223855
154,,1098.5623980215264
155,,1169.4224185337532
156,,1167.3230028926685
157,,1133.7107016715295
158,,1150.9360866964341
159,,1201.625833487631
160,,1254.768525780721
161,,1267.1075016920374
162,,1240.97400223049
163,,1184.5835198192042
164,,1156.9769295775607
165,,1130.7817960614448
166,,1099.4767093832531
