WindSpeed_080m,WindSpeed_100m,WindSpeed_120m,WindDirection_080m,WindDirection_100m,WindDirection_120m,Temperature_080m,Temperature_100m,Temperature_120m,SpecificHumidity_100m,TurbulentKineticEnergy_100m,GlobalHorizontalIrradiance,SurfacePressure,Wind_Regression_Exponent,Wind_Regression_Initial_Value,Extraterrestrial_Irradiance,Global_Horizontal_Irradiance,Direct_Normal_Irradiance,Diffuse_Horizontal_Irradiance,Temperature,Wind_Direction_Ground,Wind_Speed_Ground,Albedo,Wind Output (kWh),Useable Wind Output (kWh),Wind Curtailment (kWh),Total Wind Output (kWh),Solar Output (kWh),Useable Solar Output (kWh),Solar Curtailment (kWh),Total Solar Output (kWh),Load (kWh)
4.166666666666667,4.55,4.8500000000000005,40.833333333333336,41.66666666666666,43.16666666666666,-17.65,-17.7,-17.816666666666666,0.0007999999999999999,0.0,0.0,983.5363333333332,0.3752703230919151,-0.2160031780472496,0.0,0.0,0.0,0.0,-14.6,320,5.6,0.6000000000000001,21.76826240521904,21.76826240521904,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,963.6805691949857
4.333333333333333,4.733333333333333,5.033333333333332,38.833333333333336,40.333333333333336,42.66666666666666,-18.55,-18.633333333333333,-18.8,0.000735,0.0,0.0,984.3093333333333,0.3702879394489476,-0.15451728160778955,0.0,0.0,0.0,0.0,-12.6,320,5.8,0.6000000000000001,27.52865282857399,27.52865282857399,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,962.8213104681582
4.066666666666666,4.483333333333333,4.8500000000000005,36.66666666666666,37.66666666666666,40.0,-19.45,-19.566666666666666,-19.733333333333327,0.00067,0.0,0.0,985.237,0.4345504541355924,-0.5012093284735726,0.0,0.0,0.0,0.0,-11.7,310,6.1,0.6000000000000001,15.393924610892357,15.393924610892357,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,943.371346251664
3.766666666666666,4.166666666666667,4.483333333333333,31.66666666666667,33.333333333333336,36.333333333333336,-20.15,-20.25,-20.450000000000006,0.000625,0.0,0.0,986.2288333333332,0.43040821504023735,-0.5583551690856807,0.0,0.0,0.0,0.0,-11.9,310,6.1,0.6000000000000001,6.811068024847547,6.811068024847547,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,910.0215075297556
4.016666666666667,4.433333333333334,4.749999999999999,27.16666666666667,28.66666666666667,31.5,-20.7,-20.8,-20.95,0.0005949999999999999,0.0,0.0,987.1815,0.4146377659861486,-0.4245857857422253,0.0,0.0,0.0,0.0,-12.7,310,5.8,0.6000000000000001,15.520875630689872,15.520875630689872,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,892.9878594048729
4.116666666666666,4.516666666666667,4.783333333333334,19.666666666666668,22.5,26.0,-21.133333333333333,-21.216666666666665,-21.35,0.0005716666666666666,0.0,0.0,988.1485,0.3718479475628956,-0.21137799467791707,0.0,0.0,0.0,0.0,-13.4,310,5.6,0.6000000000000001,21.427675316468317,21.427675316468317,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,890.3623481429374
4.766666666666667,5.25,5.55,18.5,20.666666666666668,24.16666666666667,-21.65,-21.66666666666667,-21.68333333333333,0.000545,0.0,0.0,988.9960000000001,0.3773691228217567,-0.08815629579004214,0.0,0.0,0.0,0.0,-15.1,300,5.3,0.6000000000000001,40.465875048293114,40.465875048293114,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,897.2138503450595
4.316666666666666,4.933333333333334,5.366666666666666,16.0,18.5,22.16666666666667,-22.216666666666665,-22.25,-22.266666666666666,0.0005183333333333333,0.0,0.0,989.62,0.5392339763188062,-0.8963582372391328,0.0,0.0,0.0,0.0,-16.4,300,5.3,0.6000000000000001,17.824990122794215,17.824990122794215,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,906.3127639447966
4.233333333333333,4.833333333333333,5.233333333333333,10.0,13.0,16.666666666666668,-22.716666666666665,-22.716666666666665,-22.766666666666666,0.000495,0.0,0.0,990.0733333333334,0.5256148174526252,-0.8555353085001279,0.0,0.0,0.0,0.0,-17.2,290,5.6,0.6000000000000001,16.369124090332964,16.369124090332964,0.0,969412.5495984514,0.0,0.0,0.0,1279611.3997247424,912.9998281186664
4.6000000000000005,5.216666666666667,5.666666666666668,7.166666666666668,9.333333333333334,12.166666666666664,-23.05,-23.08333333333333,-23.05,0.0004766666666666667,0.0,0.0,990.3053333333332,0.5161546799386524,-0.7324513265059516,73.6111111111111,23.88888888888889,0.0,23.88888888888889,-17.0,290,5.8,0.6000000000000001,27.619304339082266,27.619304339082266,0.0,969412.5495984514,4.982666300276702,4.982666300276702,0.0,1279611.3997247424,912.6020056296254
