Hour,Diesel,Sim_Load
0,,405.13047190805565
1,,404.7692402877258
2,,396.5924922723481
3,,382.5722491219121
4,,375.4113182867972
5,,374.3075556391427
6,,377.1879211971445
7,,381.0130965491716
8,,383.8243325033243
9,,383.65708827544137
10,,388.2689507287905
11,,407.7701139590188
12,,417.55529668433616
13,,415.7884124203321
14,,426.74224060787674
15,,453.9766565713532
16,,470.59919977569547
17,,474.7214069668057
18,,464.92357524065835
19,,454.0151537159065
20,,445.26256532575104
21,,431.96111784359834
22,,421.8351000922586
23,,416.5119031001348
24,,409.0569588990071
25,,400.76124070303644
26,,392.2728805229362
27,,381.5931601148319
28,,373.9673957632023
29,,374.31072916135327
30,,378.421334551633
31,,387.10072615202336
32,,397.7381553356416
33,,406.0357894500609
34,,417.5407669272441
35,,441.35050990345036
36,,452.2843718242127
37,,453.04697941427355
38,,464.5288586299901
39,,485.55397979725944
40,,504.8652090356649
41,,509.441915430896
42,,496.8006144257241
43,,476.462964617428
44,,463.95681365232986
45,,452.7562270518247
46,,439.8200836718305
47,,428.32317531623454
48,,419.0000325091145
49,,407.353085348732
50,,396.72883665002934
51,,385.6140598484319
52,,378.49694066677813
53,,376.78363263562443
54,,381.8458198413748
55,,390.51011972554903
56,,400.4999931445033
57,,408.8552247546271
58,,423.09100082161797
59,,445.93211745561376
60,,456.3758869516014
61,,452.25650163703887
62,,465.2501229453683
63,,487.6139568065405
64,,507.8610380417614
65,,510.62798927727687
66,,501.8430169789185
67,,484.65607558834097
68,,469.9180772681461
69,,454.9352055765535
70,,438.657072878593
71,,431.3869443061691
72,,417.3324304856151
73,,405.24261450712197
74,,392.2272152013289
75,,382.7252955045793
76,,375.8298032380883
77,,376.7068910656009
78,,379.6990062283455
79,,387.68401881544696
80,,395.80568592498565
81,,403.5951821230826
82,,417.9629818038251
83,,442.96326106164895
84,,451.7836596729601
85,,448.36690767535976
86,,453.46178767253156
87,,476.9597912535687
88,,497.73756069548176
89,,507.2368046745351
90,,497.0213917015333
91,,479.51955246906806
92,,469.39902660878585
93,,461.721694448218
94,,448.8765912993731
95,,434.0391634062761
96,,417.5602385433239
97,,400.3669204842082
98,,389.1019054118049
99,,379.9448351785805
100,,372.4534623767111
101,,373.72509162864577
102,,376.9565153278031
103,,388.1572312506543
104,,399.7581067375662
105,,410.04913465071564
106,,424.9516257897257
107,,449.45629829788083
108,,455.6435833478889
109,,453.1088444565673
110,,456.84293753811926
111,,480.49445150944246
112,,500.7485122209878
113,,506.93363080246735
114,,497.8929674302537
115,,481.719087988882
116,,473.7852150470903
117,,466.90327510587804
118,,450.83742299521083
119,,434.3486948355368
120,,417.14900034746273
121,,401.15809288662723
122,,388.7111818760532
123,,380.55720072892166
124,,374.74705494078876
125,,374.79447211153615
126,,381.82688094835055
127,,396.62543423286826
128,,416.82691665551744
129,,423.76072148959645
130,,438.9932851773148
131,,469.9723688352624
132,,470.00026532545957
133,,459.4440329429801
134,,469.9483502360249
135,,493.8385253766215
136,,515.6381184765401
137,,517.9315164889714
138,,505.268933655896
139,,487.9260711183393
140,,478.66769403601336
141,,466.7460397012055
142,,452.0780754445778
143,,434.6488861740165
144,,414.7218307850934
145,,396.4187611688413
146,,387.8698609309957
147,,379.6206448263589
148,,373.4245217877848
149,,375.806160111183
150,,383.950484175932
151,,401.3108867043282
152,,428.8254460907258
153,,444.79961480933093
154,,461.83467526245755
155,,491.62416616556226
156,,490.7415736586754
157,,476.61099150217206
158,,483.85252836305017
159,,505.162453762472
160,,527.5035953143341
161,,532.690890040002
162,,521.7043896290721
163,,497.9978799403988
164,,486.39209344860313
165,,475.37968213481696
166,,462.2190509625471
167,,436.15622277190903
168,,413.6603694709249
169,,397.1452836441821
170,,387.33361027669
171,,379.00111259783125
172,,372.4886629356705
173,,375.6507115857751
174,,385.14224042811907
175,,404.82004952854027
176,,433.99479254566
177,,445.73358869452136
178,,461.57235368028694
179,,492.96257267301354
180,,487.3627751578706
181,,472.95144403020043
182,,480.9136545676038
183,,502.7346270636889
184,,523.385069395026
185,,528.0132924842877
186,,521.5597109585888
187,,496.30074692233995
188,,484.7837239084354
189,,475.3975241716424
190,,460.1036029168637
191,,436.7334796230522
192,,414.4045593919393
